小说名称,链接,类别,作者,更新时间,状态
异世之混元大道,https://www.quanben.net//288/288442/,[武侠小说],颜青衣,01-08,完结
在妖魔战国当狗的日子,https://www.quanben.net//286/286949/,[武侠小说],鸭腿炒饭,01-08,连载
寻龙迷踪,https://www.quanben.net//283/283066/,[武侠小说],唐家太公,01-08,连载
锈心剑,https://www.quanben.net//274/274012/,[武侠小说],神仙客,01-08,连载
小僧开挂了,https://www.quanben.net//283/283332/,[武侠小说],古休,01-08,连载
泪女仙,https://www.quanben.net//226/226186/,[武侠小说],风中绿水,01-07,连载
六神周艺,https://www.quanben.net//288/288434/,[武侠小说],枕雪鸟,01-07,连载
阿呆的修仙小生活,https://www.quanben.net//277/277544/,[武侠小说],蓝白阁,01-06,连载
重建大明朝,https://www.quanben.net//285/285450/,[武侠小说],岷森,01-06,连载
河伯证道,https://www.quanben.net//277/277476/,[武侠小说],夹尾巴的小猫,01-06,连载
无敌超能高手,https://www.quanben.net//277/277160/,[武侠小说],天天来卖酒,01-05,连载
这个唐僧不正经,https://www.quanben.net//288/288068/,[武侠小说],水印江山,01-05,连载
白袍踏雪,https://www.quanben.net//148/148154/,[武侠小说],丑奴儿令,01-05,连载
幽冥真仙,https://www.quanben.net//94/94811/,[武侠小说],凉水面,01-04,连载
主神公敌,https://www.quanben.net//143/143299/,[武侠小说],道就道,01-04,连载
地上道国,https://www.quanben.net//278/278760/,[武侠小说],最爱睡觉,01-04,连载
穿越丹炉的修行生涯,https://www.quanben.net//282/282237/,[武侠小说],花开叶落无归,01-04,连载
都市之地狱之主,https://www.quanben.net//193/193157/,[武侠小说],天穹之上,01-04,连载
辟道立心,https://www.quanben.net//286/286534/,[武侠小说],尘下散人,01-04,连载
蜀山世界笑傲行,https://www.quanben.net//154/154702/,[武侠小说],天剑客,01-03,连载
战国大召唤,https://www.quanben.net//285/285502/,[武侠小说],黑白隐士,01-02,连载
神秘复苏,https://www.quanben.net//277/277973/,[武侠小说],佛前献花,01-02,连载
封神之老祖,https://www.quanben.net//288/288111/,[武侠小说],倚江流,01-02,连载
修行从创业开始,https://www.quanben.net//288/288109/,[武侠小说],先生想养猫,01-02,连载
幽冥奇侠,https://www.quanben.net//288/288107/,[武侠小说],红尘弱水,01-02,连载
画一个江湖,https://www.quanben.net//288/288100/,[武侠小说],公子以诺,01-02,连载
仙侠世界的大航海时代,https://www.quanben.net//288/288071/,[武侠小说],梦中的船,01-02,连载
妖道的十年游历,https://www.quanben.net//288/288066/,[武侠小说],葫芦滴溜转,01-02,连载
血染长生,https://www.quanben.net//93/93228/,[武侠小说],夜开花,01-02,连载
帝御仙魔,https://www.quanben.net//94/94098/,[武侠小说],我是蓬蒿人,01-02,连载
封天妖尊,https://www.quanben.net//276/276714/,[武侠小说],异世的剑客,01-01,连载
魔门老祖会穿越,https://www.quanben.net//141/141338/,[武侠小说],王半缘,01-01,连载
边宋群侠传,https://www.quanben.net//288/288067/,[武侠小说],种花大熊猫,01-01,连载
打造修真世界幸福感,https://www.quanben.net//274/274627/,[武侠小说],指间天下,01-01,连载
我有亿万倍金丹,https://www.quanben.net//288/288061/,[武侠小说],孤烟黑手,01-01,连载
打造超武侠,https://www.quanben.net//288/288040/,[武侠小说],谪仙人李十二,01-01,连载
梦修大圣,https://www.quanben.net//288/288038/,[武侠小说],金属思维,01-01,连载
长生庄主,https://www.quanben.net//33/33912/,[武侠小说],天上有飞鱼,01-01,连载
都市至尊神医,https://www.quanben.net//286/286923/,[武侠小说],一等公子,12-31,连载
叩天门,https://www.quanben.net//93/93948/,[武侠小说],紫云白沙,12-31,连载
进化之危,https://www.quanben.net//265/265253/,[武侠小说],暴打一顿,12-31,连载
崩坏神话,https://www.quanben.net//75/75411/,[武侠小说],雷动天下,12-31,连载
都市之绝世仙帝,https://www.quanben.net//165/165434/,[武侠小说],周流星位,12-31,连载
这个反派太稳健了,https://www.quanben.net//287/287431/,[武侠小说],桦小白,12-31,连载
道爷请留步,https://www.quanben.net//287/287959/,[武侠小说],山比水还深,12-31,连载
绝世刀主,https://www.quanben.net//264/264680/,[武侠小说],百里刀,12-31,连载
那些热血飞扬的日子,https://www.quanben.net//276/276471/,[武侠小说],肤浅失眠中,12-31,连载
异世神棍,https://www.quanben.net//278/278881/,[武侠小说],一摊水,12-30,连载
冠世仙凡,https://www.quanben.net//287/287380/,[武侠小说],谁在暗处,12-30,连载
全职武神逛诸天,https://www.quanben.net//235/235847/,[武侠小说],折天,12-30,连载
异火饲养指南,https://www.quanben.net//222/222860/,[武侠小说],漠洛蔓,12-30,连载
洪荒里的兔爷,https://www.quanben.net//287/287981/,[武侠小说],相鸣子,12-30,连载
我是仙凡,https://www.quanben.net//104/104707/,[武侠小说],百里玺,12-28,连载
琉璃美人煞,https://www.quanben.net//287/287974/,[武侠小说],十四十四,12-28,完结
万里苍穹万里剑,https://www.quanben.net//282/282093/,[武侠小说],宦游客,12-28,连载
金丹九品,https://www.quanben.net//4/4355/,[武侠小说],两年两月,12-27,连载
重生西游之九头虫,https://www.quanben.net//250/250647/,[武侠小说],纸生云烟,12-27,连载
元始诸天,https://www.quanben.net//283/283112/,[武侠小说],弃还真,12-27,连载
最强归来之征服无限,https://www.quanben.net//287/287321/,[武侠小说],相鸿鸣,12-26,连载
穿越西游之附身唐僧,https://www.quanben.net//287/287547/,[武侠小说],云中月.CS,12-25,连载
武侠之神级捕快,https://www.quanben.net//172/172594/,[武侠小说],紫衣居士,12-24,连载
释灵逸志,https://www.quanben.net//277/277416/,[武侠小说],白柳乙,12-24,连载
神一般的剑客,https://www.quanben.net//282/282348/,[武侠小说],千秋影,12-24,连载
小师弟太难了,https://www.quanben.net//287/287529/,[武侠小说],如是幕霄,12-23,连载
武帝归来,https://www.quanben.net//278/278593/,[武侠小说],违天命,12-23,连载
主神竞争者,https://www.quanben.net//261/261258/,[武侠小说],迦太基的失落,12-22,连载
修仙界的丧尸末日,https://www.quanben.net//287/287108/,[武侠小说],寻雾者,12-22,连载
最强反派系统,https://www.quanben.net//14/14427/,[武侠小说],封七月,12-22,连载
神鬼行纪,https://www.quanben.net//275/275166/,[武侠小说],山中佬人,12-21,连载
符尊传,https://www.quanben.net//12/12291/,[武侠小说],苍云阁主,12-21,连载
神通不朽,https://www.quanben.net//272/272741/,[武侠小说],太乙神蛇,12-20,连载
蜜婚情深：战少的心尖宠,https://www.quanben.net//286/286522/,[武侠小说],鱼歌,12-20,连载
诸天之人皇,https://www.quanben.net//258/258852/,[武侠小说],沧海成尘,12-20,连载
日月天罗,https://www.quanben.net//231/231332/,[武侠小说],冰玉雪珠,12-18,连载
混元道纪,https://www.quanben.net//42/42254/,[武侠小说],太元仙尊,12-18,连载
装甲武神,https://www.quanben.net//65/65705/,[武侠小说],无尽花开,12-17,连载
太有钱了怎么办,https://www.quanben.net//283/283901/,[武侠小说],错弦,12-17,连载
武侠之拳倾天下,https://www.quanben.net//278/278605/,[武侠小说],盗圣小白,12-17,连载
傲天圣帝,https://www.quanben.net//275/275428/,[武侠小说],唯易永恒,12-16,连载
月白传奇,https://www.quanben.net//229/229053/,[武侠小说],豆腐男士,12-16,连载
灵石成仙记,https://www.quanben.net//286/286015/,[武侠小说],麦米立,12-16,连载
主神再启,https://www.quanben.net//279/279636/,[武侠小说],游天鹤,12-16,连载
武神轩辕记,https://www.quanben.net//286/286726/,[武侠小说],罪爱sxj,12-15,连载
武侠之怪物来了,https://www.quanben.net//283/283209/,[武侠小说],菜包配咖啡,12-15,连载
微尘之路,https://www.quanben.net//285/285562/,[武侠小说],南安李志云,12-15,连载
千金公主修仙记,https://www.quanben.net//283/283397/,[武侠小说],萧潇上,12-15,连载
那年下青山,https://www.quanben.net//279/279836/,[武侠小说],荷辙,12-14,连载
帝古图志,https://www.quanben.net//274/274377/,[武侠小说],墨斗鱼儿,12-13,连载
我成了武侠乐园的NPC,https://www.quanben.net//180/180333/,[武侠小说],凌若风飞,12-13,连载
西游之混世大魔王,https://www.quanben.net//286/286612/,[武侠小说],图灵风,12-13,连载
狱血道尊,https://www.quanben.net//272/272779/,[武侠小说],清静无为,12-13,连载
诡异修仙世界,https://www.quanben.net//281/281538/,[武侠小说],龙蛇枝,12-13,连载
仙凡同修,https://www.quanben.net//280/280598/,[武侠小说],紫钗恨,12-12,连载
天下第二的剑客,https://www.quanben.net//286/286588/,[武侠小说],塞尘猎清秋,12-12,连载
遮天,https://www.quanben.net//11/11607/,[武侠小说],辰东,12-12,连载
黑白剑道,https://www.quanben.net//286/286537/,[武侠小说],泓下龙吟,12-12,连载
重生一万年前,https://www.quanben.net//286/286540/,[武侠小说],周书白,12-12,连载
毁天屠帝,https://www.quanben.net//96/96852/,[武侠小说],仙魔无道,12-12,连载
重生之弃子惊华,https://www.quanben.net//286/286240/,[武侠小说],颜夕夏沙,12-12,连载
洪荒之造化青莲,https://www.quanben.net//285/285868/,[武侠小说],齐天弼马温,12-11,连载
仙侣情侠传,https://www.quanben.net//12/12030/,[武侠小说],飘柔01,12-11,连载
梦游书生之重生王朝,https://www.quanben.net//145/145721/,[武侠小说],弎个亦,12-11,连载
被坑修仙,https://www.quanben.net//282/282134/,[武侠小说],幻魇殇,12-10,连载
重生之修仙老祖,https://www.quanben.net//167/167753/,[武侠小说],仇九1,12-09,连载
重生之绝世杀神,https://www.quanben.net//277/277288/,[武侠小说],昆仑,12-09,连载
洪荒混元路,https://www.quanben.net//259/259574/,[武侠小说],苏淮向少,12-09,连载
危月之下,https://www.quanben.net//286/286136/,[武侠小说],叁和,12-08,连载
天书志异,https://www.quanben.net//209/209115/,[武侠小说],Irfan,12-08,连载
洪荒之乾坤道人,https://www.quanben.net//286/286507/,[武侠小说],大佬文,12-08,连载
血手书生,https://www.quanben.net//235/235661/,[武侠小说],爱吃糖三角,12-08,连载
川流修真传,https://www.quanben.net//286/286121/,[武侠小说],何之川流,12-08,连载
此界修真不正常,https://www.quanben.net//236/236338/,[武侠小说],薛小九,12-08,连载
重生之灵草也修仙,https://www.quanben.net//260/260629/,[武侠小说],蘑菇炖鸡,12-07,连载
武侠之绝世魔头,https://www.quanben.net//248/248143/,[武侠小说],昨天不再,12-06,连载
家丁修仙,https://www.quanben.net//280/280877/,[武侠小说],秋叶的歌者,12-06,连载
上善经,https://www.quanben.net//24/24849/,[武侠小说],墙外行人gt,12-06,连载
仙神外传之灵缘传说,https://www.quanben.net//189/189301/,[武侠小说],明眸若水,12-06,连载
农家女的剑仙之路,https://www.quanben.net//286/286397/,[武侠小说],钱贰小姐,12-06,连载
修了一个仙,https://www.quanben.net//258/258715/,[武侠小说],或许纯良,12-06,连载
九幽天后：倾世涅槃,https://www.quanben.net//286/286377/,[武侠小说],黎瀞,12-06,连载
仙君多娇：桃花如此作妖,https://www.quanben.net//258/258225/,[武侠小说],眼泪泡饭,12-06,连载
妖妃也是妃,https://www.quanben.net//286/286315/,[武侠小说],夜舞月,12-06,连载
虞令天下,https://www.quanben.net//286/286314/,[武侠小说],夜梨茯,12-06,连载
承蒙师宠：小徒不愁嫁,https://www.quanben.net//286/286279/,[武侠小说],十里青荷,12-06,连载
扬尘九州,https://www.quanben.net//80/80628/,[武侠小说],忘川摆渡人,12-06,连载
乾坤双璧之纵横天下,https://www.quanben.net//85/85064/,[武侠小说],鸥迹.CS,12-06,连载
大修真物语,https://www.quanben.net//283/283987/,[武侠小说],楼下赫本,12-05,连载
半劫不渡,https://www.quanben.net//258/258367/,[武侠小说],桔子和橘子,12-05,连载
仙侠情缘之倾城缘,https://www.quanben.net//263/263521/,[武侠小说],冷凝清,12-05,连载
重生后死对头看上我了！,https://www.quanben.net//279/279445/,[武侠小说],Hains,12-05,连载
锦水汤汤，与君长诀,https://www.quanben.net//217/217256/,[武侠小说],亦瑾,12-05,连载
阿弥陀佛喜欢你,https://www.quanben.net//286/286329/,[武侠小说],隔壁家短腿,12-05,连载
啊！登仙路,https://www.quanben.net//263/263704/,[武侠小说],苏三的酒,12-05,连载
懒散仙子呆萌夫,https://www.quanben.net//255/255977/,[武侠小说],糖醋小肉,12-05,连载
仙君指南：我家哥哥不经撩,https://www.quanben.net//257/257364/,[武侠小说],宋萧,12-05,连载
上神有劫,https://www.quanben.net//263/263805/,[武侠小说],将峘,12-05,连载
予君长生,https://www.quanben.net//285/285944/,[武侠小说],也慕,12-05,连载
红尘之隐中仙,https://www.quanben.net//285/285923/,[武侠小说],徐亦恩,12-05,连载
残存寂界,https://www.quanben.net//279/279639/,[武侠小说],蚕醇,12-05,连载
我比主角还凶猛,https://www.quanben.net//285/285339/,[武侠小说],忆风雅,12-04,连载
轮回笔扎,https://www.quanben.net//286/286190/,[武侠小说],念科,12-04,连载
仙妻临门：九世劫中缘,https://www.quanben.net//217/217068/,[武侠小说],萧酒酒,12-04,连载
重生金山寺,https://www.quanben.net//261/261702/,[武侠小说],鸿都宝篆,12-02,连载
武道漫途,https://www.quanben.net//261/261050/,[武侠小说],爱吃糖三角,12-02,连载
一剑画江湖,https://www.quanben.net//282/282394/,[武侠小说],青天宁,12-02,连载
至尊天命系统,https://www.quanben.net//283/283865/,[武侠小说],寒修尘,12-02,连载
